Symbol, Name, Sector, Industry,
PIH,1347 Property Insurance Holdings,Finance,Property-Casualty Insurers,
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services,
FLWS,1-800 FLOWERS.COM,Consumer Services,Other Specialty Stores,
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,
SRCE,1st Source Corporation,Finance,Major Banks,
VNET,21Vianet Group,Technology,Computer Software: Programming, Data Processing
TWOU,2U,Technology,Computer Software: Prepackaged Software,
JOBS,51job,Technology,Diversified Commercial Services,
CAFD,8point3 Energy Partners LP,Public Utilities,Electric Utilities: Central,
EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment,
AVHI,A V Homes,Capital Goods,Homebuilding,
SHLM,A. Schulman,Basic Industries,Major Chemicals,
AAON,AAON,Capital Goods,Industrial Machinery/Components,
ABAX,ABAXIS,Capital Goods,Industrial Machinery/Components,
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,
ABEOW,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,
ABIL,Ability Inc.,Finance,Business Services,
ABMD,ABIOMED,Health Care,Medical/Dental Instruments,
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals,
ACIA,Acacia Communications,Technology,Semiconductors,
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,
ACHC,Acadia Healthcare Company,Health Care,Medical Specialities,
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,
ACST,Acasti Pharma,Health Care,Major Pharmaceuticals,
AXDX,Accelerate Diagnostics,Capital Goods,Biotechnology: Laboratory Analytical Instruments,
ACCP,Accelerated Pharma,n/a,n/a,
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ANCX,Access National Corporation,Finance,Savings Institutions,
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments,
ACRX,AcelRx Pharmaceuticals,Health Care,Major Pharmaceuticals,
ACET,Aceto Corporation,Health Care,Other Pharmaceuticals,
AKAO,Achaogen,Health Care,Major Pharmaceuticals,
ACHN,Achillion Pharmaceuticals,Health Care,Major Pharmaceuticals,
ACIW,ACI Worldwide,Technology,Computer Software: Prepackaged Software,
ACRS,Aclaris Therapeutics,Health Care,Major Pharmaceuticals,
ACNB,ACNB Corporation,Finance,Major Banks,
ACOR,Acorda Therapeutics,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
SQZZ,Active Alts Contrarian ETF,n/a,n/a,
ATVI,Activision Blizzard,Technology,Computer Software: Prepackaged Software,
ACTA,Actua Corporation,Technology,EDP Services,
ACXM,Acxiom Corporation,Technology,EDP Services,
ADMS,Adamas Pharmaceuticals,Health Care,Major Pharmaceuticals,
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,
AEY,ADDvantage Technologies Group,Consumer Services,Office Equipment/Supplies/Services,
IOTS,Adesto Technologies Corporation,Technology,Semiconductors,
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,
ADTN,ADTRAN,Public Utilities,Telecommunications Equipment,
ADRO,Aduro Biotech,Health Care,Major Pharmaceuticals,
AAAP,Advanced Accelerator Applications S.A.,Health Care,Major Pharmaceuticals,
ADES,Advanced Emissions Solutions,Basic Industries,Major Chemicals,
AEIS,Advanced Energy Industries,Capital Goods,Industrial Machinery/Components,
AMD,Advanced Micro Devices,Technology,Semiconductors,
ADXS,Advaxis,Health Care,Major Pharmaceuticals,
ADXSW,Advaxis,Health Care,Major Pharmaceuticals,
ADVM,Adverum Biotechnologies,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,n/a,n/a,
AEGN,Aegion Corp,Basic Industries,Water Supply,
AGLE,Aeglea BioTherapeutics,Health Care,Major Pharmaceuticals,
AEHR,Aehr Test Systems,Capital Goods,Electrical Products,
AMTX,Aemetis,Basic Industries,Major Chemicals,
AERI,Aerie Pharmaceuticals,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
AVAV,AeroVironment,Capital Goods,Aerospace,
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals,
AEMD,Aethlon Medical,Capital Goods,Biotechnology: Laboratory Analytical Instruments,
GNMX,Aevi Genomic Medicine,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals,
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
AGRX,Agile Therapeutics,Health Care,Major Pharmaceuticals,
AGYS,Agilysys,Technology,EDP Services,
AGIO,Agios Pharmaceuticals,Health Care,Major Pharmaceuticals,
AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,
AGNCB,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,
AGNCP,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,
AGFS,AgroFresh Solutions,Finance,Business Services,
AGFSW,AgroFresh Solutions,Finance,Business Services,
AIMT,Aimmune Therapeutics,Health Care,Major Pharmaceuticals,
AIRT,Air T,Transportation,Air Freight/Delivery Services,
ATSG,Air Transport Services Group,Transportation,Air Freight/Delivery Services,
AIRG,Airgain,Technology,Radio And Television Broadcasting And Communications Equipment,
